"gsis_id","season","week","passing_att","passing_cmp_air_yds","passing_incmp_air_yds","receiving_yac_yds","receiving_yds","receiving_rec","receiving_tds","rushing_yds","rushing_att","rushing_tds","defense","opponent"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,1,0,28,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,1,0,3,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,1,6,0,0,6,1,0,0,0,0,"CHI","GB"
"2019090500",2019,1,1,-3,0,13,10,1,0,0,0,0,"CHI","GB"
"2019090500",2019,1,1,0,34,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,3,1,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,-4,0,3,-1,1,0,0,0,0,"GB","CHI"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,-2,0,5,3,1,0,0,0,0,"GB","CHI"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,0,51,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,1,7,0,9,16,1,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,1,0,1,2,1,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,0,15,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,0,0,0,0,0,0,0,0,1,0,"GB","CHI"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,1,5,0,0,5,1,0,0,0,0,"CHI","GB"
"2019090500",2019,1,1,0,-3,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,3,1,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,0,0,0,0,0,0,0,1,1,0,"GB","CHI"
"2019090500",2019,1,0,0,0,0,0,0,0,8,1,0,"GB","CHI"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,1,-5,0,0,-5,1,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,1,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,3,1,0,"GB","CHI"
"2019090500",2019,1,1,0,15,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,0,23,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,-2,0,7,5,1,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,20,0,7,27,1,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,21,0,1,22,1,0,0,0,0,"GB","CHI"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,1,0,42,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,1,0,-1,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,-2,1,0,"CHI","GB"
"2019090500",2019,1,1,6,0,4,10,1,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,2,1,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,6,1,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,9,1,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"CHI","GB"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,-2,0,11,9,1,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,0,17,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,1,0,4,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"GB","CHI"
"2019090500",2019,1,0,0,0,0,0,0,0,0,0,0,"GB","CHI"
